app,category,sentiment,summary,aspects,opinions
Meezan Bank,ENVIRONMENT_FEEDBACK,neutral,Just change the theme black as as old,theme,
Meezan Bank,ENVIRONMENT_FEEDBACK,positive,Owsem   very Attractive and Beautiful look in all sections but no all jazz packages you subscribe from here like jazz or easy. No option of daraz transfer plz issy add karain.,look,Attractive
Meezan Bank,LIGHTING_OR_LOCATION_ISSUE,negative,Qibla direction is not working I request please solve,Qibla direction,
Meezan Bank,LOCATION_FEEDBACK_MISC,negative,Meezan is not open after so many time trying.,"baaaaad, Meezan",Bad
Meezan Bank,LOCATION_FEEDBACK_MISC,neutral,I'm first time juwaeeng,juwaeeng,first time
Meezan Bank,LOCATION_FEEDBACK_MISC,positive,Kon Si date ko lagta hai Baar baar apdate mangtay han sahi Sy Kam he nahi krta Thank you Meezan Bank for lunching new features App God bless you all.,"yar, Meezan Bank, Kon Si date ko lagta hai, Baar baar apdate mangtay han, sahi Sy Kam, meezan","profit, nice, good, outstanding, bless, Thank you"
Meezan Bank,MISC#APP_FEEDBACK,negative,"Extremely disappointing application. It rarely opens on the first attempt, and transferring money is nearly impossible without encountering multiple errors at every step. The previous version of the app was significantly better — easily a hundred times more efficient and user-friendly. sorry forgot to mention the service is very very poor bank is moving in the wrong direction.","mathod, fingerprints, transferring money","unfortunately, impossible, complicated"
Meezan Bank,MISC#APP_FEEDBACK,positive,nice good kuck,kuck,nice
Meezan Bank,Miscellaneous,negative,"The app rarely opens on the first attempt, and transferring money is nearly impossible without encountering multiple errors at every step. The previous version of the app was significantly better — easily a hundred times more efficient and user-friendly. It does not work with Wi-Fi - Overseas. cant open on wifi worst experience UI wise ....very rough graphics.... should work on graphics quality.","wifi, feedback, graphics, Wi-Fi - Overseas, experience, cnic, amount putting section","MANDATORY, disappear, frustrating, rough"
Meezan Bank,Miscellaneous,positive,"The new Meezan Bank app is a significant improvement. It is fast, user-friendly, and visually appealing. Navigation is smooth, and key features are easily accessible. Transactions process quickly and securely. Live chat not working, otherwise a good app with decent UI. The best app is hbl mobile app they have all functions that are beneficial.","sim card, Transactions, transfer connection, benefeciaries, UI","decent, quickly and securely, fast"
Meezan Bank,SCREEN#GENERAL_FEEDBACK,negative,I am creating a Raast ID but it is not being created. It has been three days. My other bank's ID has been closed. I have been calling for three days but my issue not being resolved.,other bank's ID,closed
Meezan Bank,SCREEN#ISSUES,positive,"Both Meezan Bank apps don't work. My biometric verification doesn't seem to work, it takes blurry photos of my fingers every time. After ID verification the app just freezes for no reason.",phone's camera,fine
Meezan Bank,SUPPORT#PERFORMANCE,negative,i can't transfer online money with app almost time face errors and can't pay by my card the same issue i am facing with card. very bad experience for few days ago. unexpecting error occurred. i need to transfer some money in emergency but very very bad results.,master debit card,bad
Meezan Bank,SYSTEM#PERFORMANCE,negative,"Very, very poor UI/UX. Even login is not working properly worst experience UI wise ....very rough graphics.... should work on graphics quality update: Still not able to login. Does not verify finger print and also does not verify CNIC. stuck at login screen Extremely disappointing experience trying to log in from my new phone. The authentication process is frustrating, and the system consistently fails to verify my CNIC through NADRA.","UI/UX, login screen, system, UI","basic, poor, frustrating, worst"
Meezan Bank,UI_COLOR#USABILITY,positive,"""Very safe, nice ui and",ui,safe
Meezan Bank,UI_UX#DESIGN,negative,"The transaction experience is very bad and also the design looks very old, I think the last version was working fine I don't why they have changed and if there was need they should have come with the better solution add dark them plz.","mobile, design",old
Meezan Bank,UI_UX#DESIGN,positive,"The App is excellent. Right now, the app lets us hide our balance on the dashboard screen, which is great for privacy. But when we send money, the balance still shows up. It would be really helpful if the balance could stay hidden during the money transfer process too. This way, we can keep our balance private at all times, even when other people are around.","UI, OTP or PIN, balance","clean, great for privacy, not as aesthetically pleasing, Nice"
Meezan Bank,UTILITIES#PERFORMANCE,negative,I am unable to add electricity bill (IESCO) This needs to be fixed. the load time is so much compare to classic,electricity bill (IESCO),unable to add
UBL Digital,APP#COST_FEEDBACK,positive,Mobile bundles please ad krdo low price SA start krna.,mobile bundles,
UBL Digital,APP#DESIGN_FEEDBACK,positive,Where is so good looking app well organized,app,"good looking, well organized"
UBL Digital,APP#FEATURES,neutral,Mana Smart account open krna cha or Mena apni city ki branch select ki tu select nhi hu rhi beht,"behtareen banking app, behtarin digital system, Mana Smart account",
UBL Digital,APP#GENERAL_EXPERIENCE,neutral,I will check,,
UBL Digital,APP#GENERAL_EXPERIENCE,positive,"UBL Digital Application is a very high-quality service provider. It should be further enhanced with facilities like mobile packages, government fees, and Nadra e-Sahulat for land owner fee submission. I am satisfied. APREICIATE TO THIS APPLICATION i m satisfied excellent 👌 & great work.","Nadra e-Sahulat, Experience, APPLICIATION, experience, aap, workk, Atm Machines, UBL, soo Wonder full UBL, serivce, technologyvand, mobile packages, aaps","high-quality, best, Great, satisfied, Excellent, helpful, happy, Amazing, great, Professional, amazing, nice, good, APREICIATE, fantastic, love, improve, excellent, like, Good"
UBL Digital,APP#PERFORMANCE,neutral,SBL customers will be able to use your application,SBL customers,
UBL Digital,APP#USABILITY,positive,I have been using it for seven years. Overall a good experience. Very easy to use Very good it's very useful for me Easy to Use all features Easy To Use❤️ exceptionaleasy to use. love it Easy to use and safe Easy to used and safe feeling best by using this platform. its very useful fast and much easy to used i really enjoy it.,"safe, platform, features, use","esy, Easy to Use, best, nice, Smooth, useful, good, Easy, easy"
UBL Digital,APP#USABILITY_FEATURES,negative,"The UBL Digital App shows your remaining balance as you type the transfer amount in real-time. It instantly deducts the amount while you're entering it. This completely defeats the purpose of hiding your account balance. If you're with someone or in a public place, anyone nearby can easily see your balance changing on-screen.","Biometric verification function, raast, UBL Digital App","not like, frustrating"
UBL Digital,APP#USABILITY_FEATURES,positive,"Using the UBL Digital app feels like carrying a mini bank in my pocket way smarter and faster. No more queues, no more paperwork. Just a few taps, and my work is done. From sending money to paying bills, everything is smooth, quick thanks ubl. The UBL app is user-friendly, fast, and reliable.","ubl digital app, interface, online banking app, ease of use, UBL app, Application, ubl app, UBL Digital app, UBL App, app, Mezan Bank Apps","easy to use, enjoying, secure, Best, user-friendly, best, Excellent, helpful, useful, good, excellent, smarter, Great, recommend, Good, friendly, easy"
UBL Digital,BANK_REPUTATION,neutral,The year 2013 was marked by a series of high-profile incidents involving the death of former President George W. Bush and the resignation of Barack Obama.,ubl,
UBL Digital,BANK_REPUTATION,positive,Bank of Pakistan is one of the most popular and reliable Bank of Pakistan. Thank you UBL for being a reliable and reliable bank.,"ubl, UBL, v v vgood, amzing bank","THANK YOU, nice, like, unbelievable, great, popular"
UBL Digital,BIOMETRIC#LOGIN_ISSUES,negative,"I m trying to create a new account through the app, but when I receive the OTP the app doesn’t allow me to type it. I have tried restarting the app and my phone but the issue persists. Please fix this bug as it’s preventing users from completing the registration process.","input field, car lone option, keyboard",
UBL Digital,BIOMETRIC#PERFORMANCE,negative,"UBL's approach to biometric security is deeply flawed and user-unfriendly. The mandatory physical branch visit for biometric verification upon device change is an unacceptable inconvenience in today's digital age. In-app fingerprint scanning option consistently fails, rendering it a useless feature.","biometric, in-app alternative",cumbersome
UBL Digital,BRANCH_SERVICE,negative,"Service is inaceesible, please solve this issue all. App is good , Easy to understand but in weak 2 or 3 time service is in weak. They have the worst experience if it comes to issue resolution. Their application had a payment issue, and i asked them to fix it and they didnt fix the glitch for a whole week, and they kept saying they would fix it.","service center, salary, Help line, ATM, msg appearing, cutsomer representatives, comment row, service, staff, coustemer service, Akbar Meri Kal","disappointing, therd class, inaccessible, poor, useless, inaceesible, disappointed, bad, pathetic, not satisfied, servicec inaccesible, misbehaviour, not available, incessible"
UBL Digital,CUSTOMER_SUPPORT,neutral,"I have dealt with UBL, but haven’t opened an account yet. Now, by using the bank and the app, I’ll decide whether it’s good or bad. Is here any rewards from UBL for the Overseas Customer who","UBL, rewards",good or bad
UBL Digital,DELIVERY_RELATED_FEEDBACK,negative,Jab amount send kar di jay tab hai receipt send karny wala option thek tha new version main nahe,,
UBL Digital,DELIVERY_RELATED_FEEDBACK,neutral,CNN.com will,receipt,recipe
UBL Digital,DELIVERY_RELATED_FEEDBACK,positive,Easypaisa,,
UBL Digital,DEVICE#PERFORMANCE,negative,"Car loan section keeps crashing, after last update. too much slow and lacking unable to Write OPT only scrolling not processed more after entering amount plz fix it waiting for reply car loan option is not working it's restarting the app. slow working with Redmi 9c not working today.","Redmi 9c, car loan option, Car loan section","slow, crashing, unable"
UBL Digital,DEVICE#PERFORMANCE,positive,"It is more smooth and most comfortable to use UBL, now it is connected with UBL Whatsapp banking very nice working ubl Easy and fast, best experience. feel free and safe nice work very fast it's working result amazing. Too fast and working 24/7 smooth and easy Fast Easy Good Fast Easy good easy and safe fast and perfect.","ubl, Easy, Fast","free, efficient, amazing, best, fast, nice, good, excellent, smooth, easy, Good, Easy, Fast"
UBL Digital,LOCATION_FEEDBACK_MISC,,Great 👍 and,,Great
UBL Digital,LOCATION_FEEDBACK_MISC,positive,Mashallah Mashallah Good & smoothly experience... biznis krna ha ubl pr ayo maze kro... jazz cash option ni hi q new update me jazzcash option q ni hi very NYC and reliable mashallah very good experience ubl.app.. May Allah bless you UBL all team ..ameen bkwas mank k nizam Pakistan k manhoos bank ky account.,"bkwas mank k nizam Pakistan, Buth Hii Aaala Haii, jazz cash option q ni hi, mashallah, UBL, masttt ha boss, se bhe opar, Mashallah Mashallah","reliable, super, good, Good, great"
UBL Digital,MISC#APP_FEEDBACK,negative,I have one curry pleqse resolve it i can't complete the transaction on payment time system is buffering only not completing the transaction please resolve this issue thank you.,curry pleqse,
UBL Digital,MISC#APP_FEEDBACK,positive,very nice sarvis,nass,good
UBL Digital,Miscellaneous,negative,"UBL Digital App is a reliable mobile banking tool offering fund transfers, bill payments, and mobile top-ups with ease. Its user-friendly design and secure features like biometric login ensure convenience and safety. However, occasional slow performance and limited transaction alerts can be improved. Overall, it’s a handy solution for managing banking needs anytime, anywhere.","SIM, performance, Services, CNIC, mobile, internet service, ATM card, APP","slow, Cheap Quality, could not succeed, bad"
UBL Digital,Miscellaneous,positive,"UBL Digital Application is a very high-quality service provider. It should be further enhanced with facilities like mobile packages, government fees, and Nadra e-Sahulat for land owner fee submission. please add an option to save payment apart from share option best banking app in terms of reliability Changed rating from 1 to 5 Satisfied now.","banking app, government fees, rating, processed very quickly, transactions","high-quality, Satisfied, best, good, processed very quickly"
UBL Digital,SCREEN#ISSUES,negative, unable to send money. screen keeps reloading on review payment. Stuck on,"""enter pin"" screen, screen",Stuck
UBL Digital,SCREEN#ISSUES,neutral,"Show detail statement amount weekly, monthly",detail statement,weekly
UBL Digital,SUPPORT#PERFORMANCE,negative,"The app is extremely slow, crashes frequently, and fails to complete basic transactions like fund transfers. It's disappointing that such a major bank can't maintain a reliable app for its users. I'm unable to link my raast id. Always shows a pop saying ""FAILURE"" Will edit my review if this issue is resolved.","api response, customer support, OTPs","Unable to receive, not responsive"
UBL Digital,SUPPORT#PERFORMANCE,neutral,"Commenting while making a payment is no longer available. Please re-enable this feature, as it's helpful to note the reason for each payment.",payment,helpful
UBL Digital,SUPPORT#PERFORMANCE,positive,Not good for transactions. At,,Good
UBL Digital,SYSTEM#PERFORMANCE,negative,The Pad Pad is not opening,otp Pad,
UBL Digital,SYSTEM#PERFORMANCE,positive,"UBL Digital App is an absolute game changer! Super fast, highly secure and the smooth, elegant UI makes banking a pure delight. Just one humble request: kindly add direct mobile package activation (Jazz, Zong, Telenor, Ufone) — this feature will make it flawless. UBL, you’ve set a new benchmark in digital banking!","UI, mobile package activation","smooth, elegant"
UBL Digital,UI_COLOR#USABILITY,positive,The best UI and ease of use for any mobile banking app in Pakistan. Simply,UI,best
UBL Digital,UI_UX#DESIGN,positive,Ui design so awesome please make safe,Ui design,"safe, awesome"
UBL Digital,UTILITIES#PERFORMANCE,negative,"The UBL digital app is not updating the AJ&K electricity bills, so one cannot pay the bill through this app. Not working properly It's been hurting for three",AJ&K electricity bills,"not updating, Not working properly"
UBL Digital,UTILITIES#POWER_ISSUE,positive,CEO of GENESYS Power,GENESYS POWER SOLUTIONS,Great
